"Zhmak","Kirilenko"
"Galinsky","Paris ECE"
"WESTERBEEK","NED BLUE"
"toffier","BLUMENTAL"
"Porter","Cooper"
"HEGEDUS","HUNGARY"
"Wu ShangJi","Beijing Xinyuan"
"R.Welland","Mixed"
"P. FREDIN","Sweden"
"vechiatto","Germany"
"JONGKY","NORTH SULAWESI"
"Hoyland","McGann"
"J.SIMON","Austria"
"Kaplan","Creet"
"Richman","Haughie"
"SUNIT","FORMIDABLES"
"Bathurst","Van Proojen"
"Berg E","NOR"
"Rombaut J","France"
"SASSILI","SWITZERLAND"
"Penfold","England"
"LANTARON","Lantaron"
"Saelensmin","Hauge"
"MADALA","ITALY"
"L WANG","CHINA"
"Swarnendu","C.V.RAO"
"Rony","El-Ahly"
"Carcassonn","BCOB1"
"Maramis","Indonesia"
"Ritmeijer R","NET"
"Nunes","Strul"
"BESSIS","France"
"Baguzin","Vorobei"
"Liu Chuan","Jiangsu"
"Parvulescu","Romania"
"Araszkiewi","Prim 8"
"SEMERCI","K4"
"ZUR-CAMPAN","USA1"
"Bonnet","Guadeloupe"
"Wang","CHINA"
"Carruthe
"Helness","Europe"
"Burn","Monachan"
"Liggins","England"
"Somers","Squeeze 1"
"LYNCH Caro","USA 2"
"Champanil","Israel"
"Ventin. J.","Chagas"
"Richter","Rigal"
"Ellison .M","Scotland"
"Samuel.Wan","Hong Kong"
"WACKWITZ","NETH ORANGE"
"S Wernle","Austria"
"Kwiecien","MAZURKIEWICZ"
"Bosenberg","SOUTH AFRICA"
"Ticha","VRIEND"
"Gold D","ENG"
"Gaviard D","France"
"Subrata","Shree Cement"
"Balicki","Welland"
"BRINK SJOE","VITAS"
"D vonArnim","Europe"
"FERRARO","G.S.ALLEGRA"
"DEAS","USA1"
"Verhees L","Netherlands"
"Corry","Northern Ireland"
"Supeno","Djarum 2"
"Visser","Netherlands Blue"
"anand meht","Manyawar"
"Mello","Campos"
"Tarrazi","Defranchi"
"Wasiak","Poland"
"McIntosh","HACKETT"
"C Cheek","USA"
"LAURIA L.","SSD ANGELINI BRIDGE"
"LEVY","RIEHM"
"Li Xiaoyi","Beijing Capital"
"Nickell N","NICKELL"
"Gierulski","Poland"
"Gogoman Ad","AUT"
"Delivera","ACT"
"DUGUET Mi","Alain LEVY"
"HERNANDEZ","SPAIN"
"Irina Levi","Baker"
"Liu Haitao","Heng Sha Ke Ji"
"Gontha","Bank Mandiri Dist X"
"UYGAN","TURKEY"
"Khiouppene","Russia"
"Banno","Japan"
"Chemla","Stoppa"
"Fredin P","Norway"
"Ornstein","GREENBERG"
"Alex Leigh","HK Joanthan"
"YAVUZ","TURKEY"
"McGowan","Short"
"COMELLA","REGGIO EMILIA"
"Brum","Brum P"
"Pszczola","MAHAFFEY"
"Jassem","MARTENS"
"Manoppo","Bank Mandiri Dist X"
"Liu J","Jiangsu"
"Gaviard","Marmara"
"Zawislak","Jagniewski"
"Lorber","Fraser"
"Volcker","Bessis"
"MAYADAS","INDIA"
"Gaspar G","Australia"
"NUNES","MONACONF"
"Po-Han","CHINESE TAIPEI"
"MINA","ITALY Reg. Emilia"
"Griffin"," Bernstein"
"ANGELINI F","SSD ANGELINI BRIDGE"
"HARASIMOWI","Poland"
"McIntosh","England"
"BASILE","REGGIO EMILIA"
"Szegedi","HUNGARY"
"Winkler","Gamax"
"Yetener","Burdur Turkey"
"Kotorowicz","Team 2"
"PATTERSON","ENGLAND"
"ZAGORIN","USA 2"
"ROSENBERG ","APOLLOSOYUZ"
"Umboh","Gorontalo"
"Martel","Fleisher "
"Smederevac J","AUT"
"DAMAYANTI","West Java"
"STRETZ","FRANCE"
"Gotthard","Hungary"
"HARRY.S","SOUTH SULAWESI"
"Wu","Yeh Bros"
"ajay khare","Shree Cement"
"galazka","Poland"
"K Lindsted","Lindstedt"
"McDonald","Mongolia"
"MUKHERJEE","India"
"Novak M","Slovenia"
"B Barbosa","Robertinho"
"Bareket","Bareket Ilan"
"Jeovani","JEOVANI"
"PAYEN","PAYEN"
"KUJAWA","PIETRASZEK"
"Bocchi","ALLEGRA TORINO"
"Rinaldi","Lucignano V.Fabbr."
"Tsai","Dragon"
"Dixon","England"
"Rinaldi","VILLA FABBRICHE"
"G. ARRIGON","Italy"
"Howard","Australian Youth"
"Somers","Squeeze I"
"manna","Kabra"
"Danailov","Botev - Vraca"
"Ylinen","JuuTools"
"Mancini","BO - Tamburrini"
"Berg","Denmark"
"Rees","WALES"
"K.Chari","Chennai Online"
"Palau","CORSICA"
"East","CBAI"
"Shenkin","Mahaffey"
"Puczynski","PUCZYNSKI"
"BOCCHI","G.S.ALLEGRA"
"Liu Luan","San YuTian"
"LEVINGER","LEVINGER"
"Barel","Herbst"
"NICKELL Nick","USA 2"
"Bocchi","Gr.Sp.Ass. Allegra"
"M O'Briain","Rep of Ireland"
"C TERRANEO","AUSTRIA"
"Neale","Neale"
"ARMSTRONG","ENGLAND"
"V. Andreev","GUDOK-2"
"MAZURKIEWI","POLAND"
"Kalita","KALITA"
"Judi Radin","Moss"
"Zia ","Welland"
"East","HUNGARY"
"PASMAN","DUTCH WOMEN"
"Martinovic","Croatia"
"A.GROMOV","RUSSIA"
"Vincentell","Monaco"
"BRAMLEY","MELTZER"
"LI Le Qing","MengQingXin"
"Chagas","CHAGAS"
"Klukowski","Markowicz"
"LI","China Hong Kong"
"Lian Yong","Pu Dong Pu Fa"
"Fu XM","Pudong"
"Zia","Zia"
"Michielsen","The Netherlands A"
"Bessis M","LAFFINEUR"
"Jagniewsk","Poland"
"Inagaki K.","Japan"
"Raunto","JuuTools"
"CHEMLA P.","CHEMLA"
"HOU","China"
"Blomqvist","Koistinen"
"BURAS","BURAS"
"Tanaka","Japan 2"
"PATTERSON","England"
"Tobing","INDONESIA"
"Olanski","Lithuania"
"MADALA","ARGENTINA"
"Mulder","Hok 1"
"DUBININ Al","RUSSIA"
"TESLA","CroatiaJTOMLJENOVIC"
"Armansson","Iceland"
"DEWI","Indonesia"
"Tembouret","Robert"
"J Corry","N.Ireland"
"Bessis M.","Zimmermann"
"DUGUET","RIEHM"
"RAINFORTH","ENGLAND"
"Teramaoto","SARA"
"Andersson L","Sweden"
"Selway","England"
"Nunes","Zimmmermann"
"Kupnicki","EKO-AL"
"Sabbatini","BC. MI. - D'AVOSSA"
"Wang WM","Ling Mu"
"Perisic","Serbia"
"Chagas G","Chagas"
"Rase","CROATIA"
"Morrison","Scotland"
"FANTONI","ZIMMERMANN"
"Meyer","Grenthe"
"Nadim","EGYPT"
"MCGOWAN","Scotland"
"N.Senior","England"
"EISENBERG","MILNER"
"Angelini","ANGELINI TCP - BOVE"
"BREED","USA"
"ZACK","VARENNE"
"Ju.Hackett","Europe"
"SABBATINI","REGGIO EMILIA "
"Keyzad Ank","JPGoenka"
"wojciki","Poland"
"Romano","Totani"
"PANELEWEN.","INDONESIA"
"Madala","Lavazza"
"Mandolang","Banteng Selatan"
"Kim morris","Mixed"
"East","Colombia"
"VOZABAL","CZECH REPUBLIC"
"Takahashi","Golden Bull"
"Sikora","Warsaw I"
"casen","ONSTOTT"
"Boris Schapiro","Great Britain"
"Alami","Morocco"
"DConway","Sydney"
"Cedolin","Italy"
"Hop","Netherlands Blue "
"Tarnovski B","ISR"
"Hollman","Lall"
"A.P.Rosari","China Macau"
"S.Spangenb","NED GIRLS"
"Dubinin","RUSSIA"
"FH.Wang","MengQingXin"
"Tranmer","Northern Ireland"
"G. Winkler","Gamax"
"HAMAOUI","GS Idea Br. TO"
"Li Yongchu","Guangzhou"
"de Raeymae","BUAIJH"
"Fallenius","Rosenthal"
"Volker","Team 2"
"McKenzie","Northern Ireland"
"Rajiv Khan","Khandelwal"
"Pattinson","Republic of Ireland"
"Muller","BC 't Onstein"
"Goldberg","Mancuso"
"Pazur","JAGNIEWSKI"
","Sime"
"Lin RQ","Xin Yuan"
"Hampson","DIAMOND"
"Paparo","Palermo"
"nunn","NSW"
"T.K.Roy","Pankaj Kapadia"
"S Cohen","Onstott"
"ELINESCU. ","GERMANY"
"Bird","Creet"
"Nunes ","ANGELINI TCP - BOVE"
"Z. Siderov","42"
"th0th","Cremaster"
"Linstedt","Lindstedt"
"Rifa'i","KOTA MATARAM"
"Zadrazil","PS CZ"
"Koneru","Harris"
"VERSACE","BRIDGE CLUB REAL"
"Narkiewicz","Team 2"
" P","Campos"
"van mechel","Belgium"
"Ladyzhensk","Team 2"
"North","JACOBS"
"A Madala","Italy"
"ZHUANG","China"
"Prokhorov","Prohorov"
"CIMA","ANGELINI BRIDGE TEA"
"Marina","PYTON"
"J Kalita","Warsaw"
"Pellegrini","ARGENTINA"
"Munawar","Indonesian Senior"
"Ginossar.E","ISRAEL"
"Bocchi","Europe"
"CORNELL Mi","NEW ZEALAND"
"Juuri - Oj","JuuTools"
"Ron Smith","USA"
"KARAKOLEV ","BULGARIA"
"J Howard","Australia Youth"
"MARINA","ROMANIA"
"MADALA","ALLEGRA TORINO"
"Olanski W.","SYGNITY"
"Zhuravel","Belarus"
"KAZMUCHA","Poland"
"McDonald","Scotland"
"G Hampson","USA"
"Richman R","Australia"
"Mari","MARI"
"Maurins","Juras EZI"
"Chauvelot","Polytech Paris"
"Schroor","HOFFMAN"
"Lev","Milner"
"WILLENKEN","SCHWARTZ"
"UPMARK Johan","SWEDEN"
"Delfour","DELFOUR"
"Eythorsdot","USA 2"
"Molson","STEINER"
"Helness.T","NORWAY"
"Olech","PIETRASZEK"
"J Smith","Goldenfield"
"Csipka","Hungary"
"Groenenboo","Netherlands Red"
"Cleme","France"
"Maj","KRAWCZYK"
"L.Ravichan","Chennai Online"
"ZOCHOWSKA","FRANCE"
"Pilon","Izisel"
"Cheek","USA Cheek"
"Corry","Nor Ire"
"Peake","Gumby"
"Magyar","HUNGARY"
"Duckworth","Callaghan"
"Del Monte","Australia"
"D. Sacul","DKI JAYA"
"Jacobs","JACOBS"
"C. Burns","Northern Ireland"
"Buijis R","NET"
"Zhuang ZJ","Shouchuang"
"Kwiecien","Team Poland"
"Z","Huan Qiu Shi Bao"
"W.Hirst","Hirst"
"Norman","Wellington"
"ventin","Ventin"
"Hanlon","Hackett"
"LANKVELD","NETHERLANDS"
"Karaivanov","Vito"
"Gromov","GROMOV"
"Koistinen","JuuTools"
"Hans","Oz-One"
"Szappanos","Nimbusz"
"Gaviard","SOULET"
"REIPLINGER","CHEMLA"
"Michalski","team 2"
"Grue.J","USA"
"H. Lasut","Indonesia"
"rigaud","DELFOUR"
"Lazar Alon","Israel U20"
"Jason H","Europe"
"Chauvelot","Konga"
"Kiema","JuuTools"
"Vriend B","Netherlands"
"Zimmerman","ZIMMERMAN"
"KRASNOSSEL","Russia"
"Disa","QUINN"
"Osborne","Small "
"Krawczyk","Poland B"
"Birman D.","Lengy"
"F. Volcker","France"
"BRENNER","Brasil"
"North","Heimdal"
"Demirev","ISRAEL"
"PANCHEVA","Bulgaria"
"A.Morath","Sweden"
"Mistretta","Italy"
"Bertens","Orange Green"
"Miyakuni","Red Pork Cutlet"
"ENGEL","BCOB - BELGIUM"
"Sikora","POLAND"
"Lasserre","France"
"Bao XD","Kunshan Qiaoxie"
"W.Lazer","Australia"
"Debonnaire","PORTUGAL"
"ARLOVICH","Belarus"
"DRIJVER Bas","NETHERLANDS"
"Gerber","Gerber"
"Nystrom","Welland"
"Holland","P Hackett"
"Saelensminde E","Norway"
"Podgur","Israel"
"Magnusson","RIBITAS"
"MARTENS","MANO"
"Andreev","Gudok-2"
"Meyouhas","Meyouhas"
"SEMENTA","ITALY"
"SCHIFKO","NED AUD"
"PIZZA","SAN  MARINO"
"Yu GX","Meikuang"
"OHNO KYOKO","JAPAN"
"EIDI M","FANTONAKIS"
"RODWELL","NICKELL"
"Staelens F","Gent"
"Westra","netherland"
"Lund","DENMARK"
"Angelini","Tennis Club"
"Viana. E","Viana"
"Sime","SCOTLAND"
"Lall","USA1"
"MECKSTROTH","USA 1"
"FORNACIARI","REGGIO EMILIA"
"JIANG TONG","Beijing Xin Yuan"
"LEVY A.","ZIMMERMANN"
"KRATZ","Germany"
"GROMOELLER","BAMBERGER "
"SOLOWAY","NICKELL"
"K.Peeters","Bergues I"
"N Bashar","NSW"
"Hajdaraj","CROATIA2"
"Moss","Eisenberg"
"Zhou JH","Pudong"
"Zorlu N","TUR"
"Adrian T.","Goodman"
"Chmurski","KADIMEX"
"Ramondt","Team 2"
"Lacroix","Thuillez"
"Bocchi","BCAT - ITALY"
"PIEKAREK P","GERMANY"
"inchan","Dead Pig Nerds"
"J Salisbur","Wales"
"Paterson","England"
"Mohan John","Milner"
"SLEMR","CZECH REPUBLIC"
"Raynaud","Caen B.C."
"Muller","Team 1"
"Szymanowski","Baze"
"SUWIK","SUWIK"
"Lian RY","Zhejiang Jingfan"
"VANIKONIS","VITAS"
"Rosendorff","Haughie"
"MANNO","BRENO"
"TRENDAFILO","Rxdkov"
"SCHALTZ","SCHALTZ"
"Narkiewicz","GP"
"Baze","MILNER"
"Vainikonis","ERIC"
"Fantoni","Angelini"
"CJ Zhuang","Yeh Bros II"
"Baze","Baze"
"EKEBLAD","USA"
"Zur Campa","Israel"
"Lutostansk","CHALLENGER"
"WANG_HO","China"
"zhangxiaof","Xinyuan"
"Mihov","CHATEAU ROSSENOVO"
"DAMASO","PORTUGAL"
"Porter","Hung"
"Di Bello S","Lucignano V.Fabbr."
"Adriano","ADRIANO"
"Bambang","Djarum I"
"P Kaplan","Miner"
" Kaplan","VIC"
"Muller","Pisa"
"ROBSON","ENGLAND"
"Moses","Scudder"
"Sainte Mar","BLUMENTAL"
"Pilipovic","Nico"
"Brum P","Brum"
"Ferraro","LAVAZZA"
"Sandqvist","Young Chelsea"
"T PASKE","ENGLAND"
"T.K.Roy","Bimal Sikka"
"Dwyer","Lien"
"Erichsen","Team 1"
"Kopecky","JAPAN-CZECH"
"Vist","Norway"
"DUBININ","RUCH WROCLAW"
"Smyth","Adelaide 1"
"","Radhey"
"OYMEN","TURKEY"
"Pudjiwo","Palma"
"JoAnn","Sprung"
"Sheilds","Wales"
"BALDYSZ","POLAND"
"Kodoati","Gorontalo"
"Lomas","N.Ireland"
"J MURDOCH","Scotland"
"JUREK","TEAM 1"
"Ringseth","Norway"
"Marjai","Hungary"
"ROBINSON I","USA 1"
"THAM","SINGAPORE"
"Bakhshi","Allfrey"
"Valta","Finland"
"T Brown","Australia"
"FELMY","GOTARD"
"Lorenzini","Cayne"
"ATALAY","TURKEY"
"SONTAG Ala","USA"
"Bessis T.","IZISEL"
"Smieszkol","Poland U20"
"Janice Molson","Wei-Sender"
"Giubilo","ITALY II"
"Bompis M","France"
"Manna","Kabra"
"","Optical"
"Bhabesh S.","C.V.RAO"
"UZUM","Turkey"
"BILDE","BK LAVEC SMILE"
"VENKATESH","TEXAN ACES"
"Smith","Newell"
"Stefanov","Vito"
"North","Onstott"
"TRENDAFILO","Bulgaria"
"TESSIERES","FRANCE"
"WILLARD","FRANCE"
"grenthe.j","France"
"Gue","Giura"
"P_Cronier","FRANCE"
"Takayama","JAPAN Open"
"Fagerlund","Nieminen"
"Jones","Wales"
"Liran I","Israel"
"Dalkilic","Turkey"
"Lewis","Berkowitz"
"Lixin","China 1"
"THUILLEZ","France"
"Svindahl","Vestfold 1"
"Liu","Dragon"
"Fisher","New Zealand"
"Kui","Guang Zhou"
"Sutherlin","Mancuso"
"Versace","ITALY"
"newfire","Cremaster"
"VERSACE","ANGELINI BRIDGE TEA"
"K. Kodaira","Kacho Fugetsu"
"Struik","ACT"
"BATOV","BATOV"
"Laltu","dhampur sugar mills"
"HANLON","MORAN"
"He Weiwei","Guangzhou"
"G Jones","Hasenson"
"NYSTROM","De Knijff"
"Cullin","BK S.T ERIK"
" Boyd","Ireland"
"ENGEBRETSE","FJORDS OF NORWAY"
"ZIMMERMANN","ZIMMERMANN"
"PROKHOROV","SILVER  EAGLE"
"allouche g","France"
"Bojoh","Palma "
"Afrililia","West Sumatra"
"ZUR-CAMPAN","USA 1"
"Sikora","Warsow 1"
"WITTES Pam","USA 2"
"Krupowicz","KADIMEX"
"T. Bessis","Zimmermann"
"Wolpert","Brifman"
"SEMENTA","ANGELINI"
"T Helness","Norway"
"PAZUR. B","POLAND"
"Kiran N","Formidables"
"Failla Giu","Catania Failla"
"RYBNIKOV G","Ukraine"
"Rosenberg","Welland "
"Nicole","Team 2"
"MOLLER","ASSAEL"
"Clement","Paris Sud"
"Jurek","WALDI"
"Imai","Japan"
"Hinden","Small "
"FITZGIBBON Nicholas","Ireland"
"Fruscoloni","Roma 1"
"JY.Shih","Yeh Bros I"
"Pesonen","Asparagus"
"Zhu LY","Shanxi"
"Wang HL","Beijing Ladies"
"FOSTER","Sydney 2"
"C Dawei","Yeh Bros"
"Brenner","Brenner"
"West","CZECH REPUBLIC"
"Gentili","LOY"
"Smederevac J","Austria"
"Maeda","Japan HANA"
"ZHAO Jie","POLAND"
"Ke Jia","Ambassador"
"buras.k","Poland"
"Jill Levin","Wei-Sender"
"Li Jie","Zhong Jian"
"Alberti","BC Darmstadt Alert"
"T.TERAMOTO","SARA"
"Ginossar","Bareket Ilan"
"Liu","Sanchen"
"RAJU T","Manyawar"
"A. SEMENTA","Italy"
"Fantoni","Kamil"
"Pazur","Team 1"
"Liu GB","Hebei/Shihua"
"South","WHY NOT"
"Lim","Mal - Phi"
"C. Yeh","DEPPO"
"Klinger","Haughie"
"Ackerley","MacDonald"
"Ke JW","Wellwise"
"Demuy","Canada"
"Kalish Avi","Israel"
"Li Xin","Shou Chuang"
"Wang W.","China Red"
"SZALKA","HUNGARY"
"Frukacz","CANADA"
"Szczepans","HARASIMOWICZ"
"Jusuf","Indonesian Senior"
"ROBINSON","USA 2"
"Vicky","Djarum 2"
"Cheek","Hollman"
"FRIELANDER","ISRAEL EIDI"
"PICUS","USA2"
"Bruun","Farholt"
"Duboin","Torino-Allegra"
"Fu zhong","China SMEG"
"Mina","Reggio E-Fornaciari"
"Karen McCallum","Baker"
"Ramondt V","Netherlands"
"Tatarkin V","OSAULENKO"
"Stewart","Kasle"
"Zhang Qian","Gonghang Jinying"
"LAKATOS P","HUNGARY GAMAX"
"HU","CHINA"
"K.K.Kumar","Chennai Online"
"Y.C.Ding","China Macau"
"Ming","NSW"
"Yan Lu","CHINA LADIES"
"Korpetta","Poland"
"Chan Y","Hong Kong"
"K_BERTHEAU","Sweden"
"E Lienanda","Mitra Buana"
"Meckstroth","USA 2"
"P Huang","Yeh Bros"
"Fachreza","Syabas Gabrial-UI"
"Jassem K.","SYGNITY"
"DUGUET M","France"
"Ota","Japan"
"Zhou JH","Pu Dong Club"
"rehder","Germany"
"Zaluski","L'Ecuyer"
"Russyan","Poland"
"M RIMSTEDT","SWEDEN"
"ROSETTA","MI - ROSETTA"
"Bareket","Lengy"
"MOLLER","Denmark"
"KOWALSKI","Araszkiewicz"
"T Polii","Bhinneka"
"O.Giannis","Greece Blue"
"GROSS","Gross"
"WHITE","Carmichael"
"Jansma","Europe"
"Liam Milne","Australian Youth"
"K.Krishnak","Chennai Online"
"ROUSSOS","GREECOURA"
"FYRUN","FYRUN"
"SUNDELIN","Sweden"
"PILON","MEYER"
"Stansby","Team 2"
"Zhou JH","Pu Dong"
"COMELLA","REGGIO EMILIA "
"I.Delmonte","Australia Oz One"
"Bessis","France U25"
"BERTENS","NED AUT"
"Fantoni F.","Italy"
"Hasyim A","Indonesia (Sulut)"
"ZNAMIROWSK","PIETRASZEK"
"O Wohon","North Celebes"
"Briciu","ROMANIA"
"Wojcieszek","Poland"
"Sun","China"
"Saelensminde","Gillis"
"ELLIA","ELLIA"
"Multon","NC FRANCE"
"BOYD","USA 2"
"Walker","Scotland"
"BAKKEREN F","NED AUD"
"Figuereido","Brazil"
"Van de Sande","NET"
"Zhang","CHINA"
"Knap","Spain"
"gromann.l","GERMANY"
"Tomic","TESLA 2"
"Yu MC","Beijing Xinyuan"
"Velichkov","Bulgaria"
"Asbi","Indonesian Open"
"BADAL DAS","J.P.Goenka"
"INO","Japan"
"IJsselmuid","Team 1"
"SUNDARRAM","India Blues"
"Garner","Meltzer npc"
"H McGann","England plus Pharon"
"Wu SJ","Beijing Xin Yuan"
"Mesbur","Ireland"
"Bocchi","ITALIA"
"Hassett","ENGLAND"
"Commins","Wales"
"Potier","Dechelette"
"Bakhshi","Forrester"
"dr. Lim TW","Mal - Phi"
"ZIPOVSKI","Serbia"
"Tom Hanlon","England plus Pharon"
"K.Sulgrove","Sprung"
"Moren","Nixon"
"sprung","Mancuso"
"Mackenzie","Northern Ireland"
"R.LEVY","DIEGO"
"Starkowski","PUCZYNSKI"
"MORSE","ONSTOTT"
"Rosner","McKellar"
"Bocchi","Italy"
"Crank","USA2"
"M_Radojevi","Zmaj"
"Bertens","Bakkeren"
"Battaglia","GS Idea Br. TO"
"Lauria","PARIOLI - ITALY"
"Chaker","El Hazem"
"Macskasy","Nimbusz"
"FALCIAI","A.S.D. FIRENZE"
"F.Nystrom","Sweden"
"Connolly","N Ire"
"earl","DEMARTINO"
"Ekeblad","Rubin"
"NIKOLAYENK","Ukraine"
"E.Graca","China Hongkong"
"ASBI","DKI JAKARTA"
"SOKOLOW","Usa"
"Nunez","Ayacucho"
"V.KHOLOMEEV","Russia"
"Cornell","Bridge Akarana"
"A Mesbur","Ireland"
"Malinowski","HAUGE"
"Brink","Russia"
"Skrzypczak","NATIONAL"
"SMALINSKY","ARGENTINA"
"MBessis","Zimmermann"
"Cohen","Deutsch"
"FERRARA","ASS NAPOLI BR"
"Gaspar","Haughie"
"Thieblin","MOHTASHAMI"
"HERBST I","Israel"
"Pigeaud","FRANCE"
"Yeh Chen","Chinese Taipei"
"Dogan","BESIKTAS - TURKEY"
"Brenner","Chagas"
"Andreev","OSAULENKO"
"Westra","Orange White"
"Legras","LEGRAS"
"SEREK","CONNECTOR"
"Ivaska","Freed"
"J Boyoh","Indonesia"
"S.Som","BIMAL SICKA"
"RAUL","JEOVANI"
"Molson","Canada"
"Mariani","RE - FORNACIARI"
"Plunkett","NIBU"
"Novosel","BOSNIA"
"","TURKEY"
"Lutek","Poland"
"Youbert","LBC"
"NOWOSADZKI","ERA"
"Hop","Netherlands B"
" R","Brum"
"Nayer","El Rabwa Club (A)"
"PAULISSEN","Het Witte Huis"
"BACH","New Zealand"
"Richman.B","AUSTRALIA"
"DEMIREV","SCHUETT"
"Blakset","Farholt"
"Wang WM","Suzhou Qiaoxie"
"Y Kariana","Gabrial UI"
"B. FALLENI","Sweden"
"KANDEMIR","KANDEMIR"
"Asbi","DKI Jaya"
"DREWSKI","Onstott"
"SALAMA","CHEMLA"
"MASOOD","PAKISTAN"
"Voldoire","Nahmias"
"Bausback","Salokin"
"MOHR","FAROE ISLANDS"
"GRUMM Iris","AUSTRIA"
"D'Avossa","Italy"
"OHTAKA Eij","JAPAN"
"DAS BADAL","C. V. Rao"
"East","ZIMMERMANN"
"Gomez","Barcelona"
"Jack Zhao","China"
"GIERULSKI ","AUKEN"
"Winkler","HUNGARY"
"NYSTROM","Israel"
"D Piper","Scotland"
"","Chlodnia"
"Rosendorff","Australia"
"Nanev Ivan","Bulgaria"
"Avsar","Canakkale Bld.Spor"
"M.Sofios","Greece Blue"
"A Hurd","USA2"
"Somerville","N.Ireland"
"ekeblad.r","England"
"Prooijen","Netherland"
"canonne.m","FRANCE"
"VANHOUTTE","France"
"TaufikAsbi","Mitra Buana"
"SEQUEIRA","India"
"Rodwell","Also changes"
"L'Ecuyer","L'Ecuyer"
"RAFALSKI","PAJAK"
"Bertens H.","Netherlands"
"2005","ITALY"
"Marston","Global"
"Weinstein","Weed"
"EINARSSON B","Iceland"
"LALTU","INDIAN Railways A"
"East","USA"
"Zhuang Zj","Shanghai Qizhong"
"Zhang YL","Huan Qiu Shi Bao"
"STEFANOV","Bulgarya"
"Kelder","Star"
"VEDY.S.","WEST BORNEO"
"Sprung","sprung"
"CERRETO","UGGERI"
"Wilson","Central Districts"
"Hopfler","AUSTRIA LIONS"
"JANKOVA JA","CZECH REPUBLIC"
"Silver","JUICE"
"Janowski","PAJAK"
"Kimiko E","Singapore"
"T Waterlow","Armstrong"
"VAN MOL","SQUEEZE"
"Y Wiseman","Scotland"
"Groemeller","Germany"
"Viitasalo","JuuTools"
"C.TERRANEO","Austria"
"linrongqia","Xinyuan"
"GOLD","ALLFREY"
"Sylvan","Apteker"
"Orlov","Vorobei"
"AUKEN","Fireman"
"West","USA"
"Cima","Catania"
"GITELMAN F","USA"
"S. Wernle","Autbul"
"Barbosa.R.","Brum"
"CHEMLA","FRANCE HOST"
"Letizia","Westheimer"
"Gosney","Leibowitz"
"Volcker","VOLCKER"
"bertheau","Mahaffey"
"Sunit C.","Formidables"
"Bakkeren","TEAM ORANGE"
"FISHER","USA 1"
"Remstedt","Sweden"
"Jagniewski","KOWALSKI"
"Eisenberg","CHEMLA"
"J. Stansby","USA I"
"KOKSOY","Turkey"
"KAZMUCHA ","CONNECTOR"
"Schneider R","Israel"
"Pulga","ASD Villa Fabbriche"
"Lian RY","Zhejiang Taizhou"
"HERBST","BAREKET"
"Stark","Stark"
"Amsel","Belgium"
"RODWELL Eric","USA 2"
"Smirnov","Also Changes"
"Prooijen","Team 2"
"Jill Levin","USA"
"Henner","Noname"
"Drijver","Het Witte Huis 2"
"HELGEMO","Norway"
"Penney","Malta"
"Chen XG","Shanghai Pudong"
"VERHEES L","ONSTEIN ACES"
"Liran","Israel"
"NUNES","Zimmerman"
"PILON","HOST FRANCE"
","Scotland"
"BAKKE","NORWAY"
"Koivu","Nikotiimi"
"ZACK","ISRAEL"
"Bompis","MEYER"
"Lardo","S.G.Sannio Fioretti"
"Zhang Qian","Jing Tie"
"Shen CK","Chinese Taipei"
"Mouiel H.","Zimmermann"
"PADON","Israel White"
"ZMUDA","Poland"
"Gay  K.","Goodman"
"Poletylo","SUWIK"
"Rayner","Rayner"
"Leenhardt","Avon"
"Szczepans","KRAWCZYK"
"G Palmer","Central Districts"
"Grant","Scotland"
"REKSTAD","REKSTAD"
"Fruewirth","Rothfield"
"North","ISRAEL"
"B. Sver","Croatia"
"Del'Monte","USA"
"Chan","SA"
"NEVE","FRANCE"
"Panelewen","North Celebes"
"TSAI","Dragon"
"West","Tallinn"
"Alberti","Germany"
"MORGAN","HARRIS"
"LASSERRE","France"
"F. Alonso","Argentina"
"Kirmse And","Germany"
"Jackie","Jin Mei"
"Lund","Denmark"
"PIEKAREK","BAMBERGER"
"jagniewski","Poland"
"RICCIARELL","FORNACIARI - RE"
"","Apteker"
"Wang Yiwei","Shanghai Pudong"
"CASTANHEIR","PORTUGAL"
"S Brock","England"
"Golin","Catania"
"Terraneo","TERRANEO"
"Dai JW","Qing Gong "
"Tal","Israel"
"Kriftner S","AUT"
"Mari","PILON"
"Schneider","Schneider"
"CHAGAS G.","BRAZIL"
"Korbel","L"Ecuyer"
"Neve","Allix"
"Cheek","O'ROURKE"
"Pollack","USA 2"
"Gill","Brifman"
"JAGNIEWSKI","Poland"
"Subhash G","FORMIDABLES"
"Scudder","Scudder"
"Waluyan","BNI 46 Jakarta"
"Groenenboo","Netherlands A"
"Bernstein"," Bernstein"
" P","AUSTRALIA"
"F.Karwur","Bank Mandiri Mnhasa"
"Breed","Moss"
"Quantin","LEVY"
"S.Sun","Beijing Trinergy"
"Elahmady","Scheinder"
"LEVY","BOMPIS"
"Primavera","RIOLO"
"Angelini","TCP RM Angelini"
"Verhees","Rubin"
"Garner","Meltzer"
"Prooijen","NETHERLANDS"
"Aa","Gordon"
"LEV","USA"
"Seepersad","Trinidad & Tobago"
"Gromova","Avalanche BC"
"WOOLDRIDGE","Carmichael"
"HAMPSON","Ekeblad"
"Ajay Khare","Poddar Developers"
"NYSTROM","BKSE Sweden"
